C_X,C_N,C_L,F_in,C_N_in,I0,Time
3.1961710453033447,1.5417168140411377,0.006415823008865118,0.001,10,150,138.69346733668343
3.197291612625122,1.5458571910858154,0.006413341034203768,0.001,10,150,139.44723618090453
3.198387861251831,1.5500047206878662,0.006410816218703985,0.001,10,150,140.20100502512562
3.199460506439209,1.55415940284729,0.006408249959349632,0.001,10,150,140.95477386934675
3.200510025024414,1.5583217144012451,0.0064056431874632835,0.001,10,150,141.70854271356785
3.2015368938446045,1.5624916553497314,0.006402997765690088,0.001,10,150,142.46231155778895
3.2025418281555176,1.5666697025299072,0.006400314625352621,0.001,10,150,143.21608040201005
3.2035250663757324,1.5708563327789307,0.006397595163434744,0.001,10,150,143.96984924623118
3.2044873237609863,1.5750510692596436,0.006394840311259031,0.001,10,150,144.72361809045228
3.2054288387298584,1.579254388809204,0.006392051000148058,0.001,10,150,145.47738693467338
3.206350088119507,1.583465337753296,0.006389229092746973,0.001,10,150,146.23115577889448
3.207251787185669,1.5876843929290771,0.006386375520378351,0.001,10,150,146.98492462311557
3.208134174346924,1.5919106006622314,0.006383492145687342,0.001,10,150,147.7386934673367
3.2089977264404297,1.596146821975708,0.0063805789686739445,0.001,10,150,148.4924623115578
3.2098429203033447,1.600391149520874,0.0063776373863220215,0.001,10,150,149.2462311557789
3.210670232772827,1.6046431064605713,0.006374669261276722,0.001,10,150,150.0
