t,theta,omega
7.707707707707708,0.9375696355867116,-0.6896244860741628
7.727727727727728,0.8935867172829083,-0.7054255981795611
7.747747747747748,0.8739051780318842,-0.7438262317674998
7.767767767767768,0.8366690749255405,-0.7551939721830262
7.787787787787788,0.8443172588402547,-0.8042385564059947
7.807807807807808,0.8263573640838281,-0.7946243512593483
7.827827827827828,0.8473092550218796,-0.7897746097249007
7.847847847847848,0.7952730097614149,-0.8170893632643643
7.867867867867868,0.7793283003247627,-0.840298894755397
7.887887887887888,0.7399140414731097,-0.8531985127801727
7.907907907907908,0.7294825922981246,-0.8888740149303495
7.927927927927928,0.7371994235471526,-0.8694779801655466
7.947947947947948,0.6735449033383852,-0.892929807194127
7.967967967967968,0.7112361235439114,-0.8821936506724991
7.987987987987988,0.6936263548614175,-0.9152229270805496
8.008008008008009,0.6377463801569276,-0.9500111738855881
8.028028028028029,0.6428330278289153,-0.9327924511764618
8.048048048048049,0.6427431581741596,-0.9301160943002735
8.068068068068069,0.5951756829150522,-0.9884261977143062
8.088088088088089,0.5720362702964206,-0.9703046421824009
8.108108108108109,0.554755778822922,-0.996987248429021
8.128128128128129,0.5440217024609483,-1.005953747466534
8.148148148148149,0.5063635489970476,-0.9997482083338989
8.168168168168169,0.490647120723275,-1.0108477416831474
8.188188188188189,0.4837214744983881,-1.0479134635611593
8.208208208208209,0.4480185428158017,-1.0053996443624749
8.228228228228229,0.41361066964096843,-1.0851467496729046
8.248248248248249,0.37865468874219055,-1.0505112457255845
8.268268268268269,0.395387354009769,-1.061340098235096
8.288288288288289,0.39777608548223337,-1.1199472296733732
8.308308308308309,0.3599880173936476,-1.0423664756198838
8.328328328328329,0.30795257295529127,-1.0878921870970581
8.348348348348349,0.2937591373966469,-1.104474270715104
8.368368368368369,0.2804787153589264,-1.0639140591074732
8.388388388388389,0.30182521880450236,-1.1046390390847272
8.408408408408409,0.2811472231501997,-1.102240565661499
8.428428428428429,0.25599192263598664,-1.1094208659218918
8.448448448448449,0.20132352321616878,-1.1044151091870775
8.468468468468469,0.23998459357215146,-1.0984318105988664
8.488488488488489,0.13989704917685764,-1.0993703816664522
8.508508508508509,0.12437901733400955,-1.1313951044140385
8.528528528528529,0.1273084282297477,-1.1233825325733178
8.548548548548549,0.09218499980887387,-1.1256808950573804
8.568568568568569,0.0707875558988604,-1.1189680756020688
8.588588588588589,0.002733312819358645,-1.1151918045119031
8.608608608608609,-0.0007675955817318253,-1.1579732147722286
8.62862862862863,-0.0049028539506073485,-1.1275991456063412
8.64864864864865,-0.040210677011520604,-1.1123570833162644
8.66866866866867,-0.07577942684333355,-1.13636324586277
8.68868868868869,-0.08320917183981923,-1.1279511485918106
8.70870870870871,-0.08848153316615837,-1.1455217722429625
8.72872872872873,-0.10208265496157627,-1.1219993557806323
8.74874874874875,-0.17687011190606014,-1.1598796065309172
8.76876876876877,-0.16168491010041827,-1.122130684716616
8.78878878878879,-0.185849845048795,-1.1148324245629107
8.80880880880881,-0.20153992434115925,-1.091442170489479
8.82882882882883,-0.2504609005501668,-1.129521379329795
8.84884884884885,-0.2722022818316542,-1.095558605598096
8.86886886886887,-0.24743457663568394,-1.1047910895683901
8.88888888888889,-0.3442574404169923,-1.1246483959486882
8.90890890890891,-0.33265787477822256,-1.0957090619961727
8.92892892892893,-0.34581406418379235,-1.077355664223913
8.94894894894895,-0.36539760615155553,-1.0503056057268607
8.96896896896897,-0.3940585454657115,-1.0813019131106645
8.98898898898899,-0.3921873534308377,-1.0871356050766272
9.00900900900901,-0.4150409748423951,-1.0463492307286084
9.02902902902903,-0.44668914646515784,-1.0082291292864056
9.04904904904905,-0.4769178728650847,-0.9900065991717741
9.06906906906907,-0.48953625242393534,-1.0476012944668107
9.08908908908909,-0.5039962761234122,-1.0340718927715429
9.10910910910911,-0.5406027923473797,-0.9947372630686344
9.12912912912913,-0.5344279706417411,-1.0049045970397081
9.14914914914915,-0.5455554916248322,-0.9587543725576638
9.16916916916917,-0.5561268560394872,-0.9604272306850048
9.18918918918919,-0.5769123539173465,-0.9974179452314428
9.20920920920921,-0.6296394193402227,-0.965611978104898
9.22922922922923,-0.6397631956530218,-0.9478621572365288
9.24924924924925,-0.6640972608637992,-0.8866504140963507
